site,x,y
1a,447023.36,208492.29
1b,446603.09,208760.79
1c,446638.11,209065.99
1d,446419.64,209234.44
1e,446394.62,208922.57
1f,446372.94,208650.72
1g,446316,208403
1h,446346.2,208208.22
2a,445249,208921
2b,445459,209132
2c,445655,209231
2d,445927,209241
2e,446142.79,209401.21
2f,446181.15,209112.69
2g,445936,209034
2h,445671,208918
2i,445479,208757
3a,445414,208459
3b,445718,208604
3c,445923,208730
3d,446131,208800
3e,446120.57,208591.02
3f,445874,208432
3g,445613,208312
3h,445925,208098
4a,445397.31,208198.76
4b,445295.58,207935.26
4c,445592,207964
4d,445880,207877
4e,446099,207814
4f,446317,207831
4g,445295.58,207693.44
4h,445561.26,207713.71
4i,445460.69,207499.98
5a,446311.23,206679.45
5b,446551.38,206834.54
5c,446357.93,206941.28
5d,446171.37,207139.73
5e,445961,207276.51
5f,446167.81,207356.55
5g,446114.44,207598.37
5h,445852.61,207596.71
5i,445675.82,207406.59
6a,446329,207594
6b,446399.25,207325.56
6c,446592,207489
6d,446845,207469
6e,446920.57,207311.94
6f,447169,207411
6g,447398,207390
6h,447381,207672
6i,447162,207643
7a,447635,207531
7b,447622,207777
7c,447806,207983
7d,447883,207764
7e,448163,207642
7f,448353,207405
7g,448446,207219
7h,448511,206960
8b,444490.35,207558.27
8c,447078.54,206344.2
8d,447210.27,206344.2
8e,447332.02,206701.28
8f,447825.5,207173.02
