Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Alpha,Lambda,Distance,Beta,Total_prop_Ls,Var
50,2,50,2,0.0055,0.0005,1,1,0.5,7.66E-08
50,2,50,2,0.0055,0.0005,1,1.25,0.5,0.1463
50,2,50,2,0.0055,0.0005,1,1.5,0.5,0.2972
50,2,50,2,0.0055,0.0005,1,1.75,0.5,0.3328
50,2,50,2,0.0055,0.0005,1,2,0.5,0.3462
50,2,50,2,0.0055,0.0005,1,2.25,0.5,0.3521
50,2,50,2,0.0055,0.0005,1,2.5,0.5,0.3549
50,2,50,2,0.0055,0.0005,1,2.75,0.5,0.3564
50,2,50,2,0.0055,0.0005,1,3,0.5,0.3571
50,2,50,2,0.0055,0.0005,1,3.25,0.5,0.3575
50,2,50,2,0.0055,0.0005,1,3.5,0.5,0.3577
50,2,50,2,0.0055,0.0005,1,3.75,0.5,0.3579
50,2,50,2,0.0055,0.0005,1,4,0.5,0.3579
50,2,50,2,0.0055,0.0005,1,4.25,0.5,0.358
50,2,50,2,0.0055,0.0005,1,4.5,0.5,0.358
50,2,50,2,0.0055,0.0005,1,4.75,0.5,0.358
50,2,50,2,0.0055,0.0005,1,5,0.5,0.358
50,2,50,2,0.0055,0.0005,1,10,0.5,0.358
50,2,50,2,0.0055,0.001,1,1,0.5,2.50E-15
50,2,50,2,0.0055,0.001,1,1.25,0.5,9.69E-06
50,2,50,2,0.0055,0.001,1,1.5,0.5,0.1166
50,2,50,2,0.0055,0.001,1,1.75,0.5,0.2005
50,2,50,2,0.0055,0.001,1,2,0.5,0.2333
50,2,50,2,0.0055,0.001,1,2.25,0.5,0.249
50,2,50,2,0.0055,0.001,1,2.5,0.5,0.2573
50,2,50,2,0.0055,0.001,1,2.75,0.5,0.262
50,2,50,2,0.0055,0.001,1,3,0.5,0.2647
50,2,50,2,0.0055,0.001,1,3.25,0.5,0.2663
50,2,50,2,0.0055,0.001,1,3.5,0.5,0.2673
50,2,50,2,0.0055,0.001,1,3.75,0.5,0.2679
50,2,50,2,0.0055,0.001,1,4,0.5,0.2683
50,2,50,2,0.0055,0.001,1,4.25,0.5,0.2685
50,2,50,2,0.0055,0.001,1,4.5,0.5,0.2687
50,2,50,2,0.0055,0.001,1,4.75,0.5,0.2687
50,2,50,2,0.0055,0.001,1,5,0.5,0.2688
50,2,50,2,0.0055,0.001,1,10,0.5,0.2689
50,2,50,2,0.0055,0.0015,1,1,0.5,4.12E-28
50,2,50,2,0.0055,0.0015,1,1.25,0.5,1.26E-12
50,2,50,2,0.0055,0.0015,1,1.5,0.5027,7.43E-04
50,2,50,2,0.0055,0.0015,1,1.75,0.5,9.51E-02
50,2,50,2,0.0055,0.0015,1,2,0.5,1.47E-01
50,2,50,2,0.0055,0.0015,1,2.25,0.5,1.73E-01
50,2,50,2,0.0055,0.0015,1,2.5,0.5,1.87E-01
50,2,50,2,0.0055,0.0015,1,2.75,0.5,1.95E-01
50,2,50,2,0.0055,0.0015,1,3,0.5,2.00E-01
50,2,50,2,0.0055,0.0015,1,3.25,0.5,2.03E-01
50,2,50,2,0.0055,0.0015,1,3.5,0.5,2.05E-01
50,2,50,2,0.0055,0.0015,1,3.75,0.5,2.07E-01
50,2,50,2,0.0055,0.0015,1,4,0.5,2.08E-01
