Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Patch3_Us,Distance,Alpha,Lambda,Beta,Var,Total_prop_Ls
50,2,50,2,50,1,0.01,0.0005,1,5.95E-06,0.5
50,2,50,2,50,1,0.01,0.0005,1.1,0.16307,0.5
50,2,50,2,50,1,0.01,0.0005,1.2,0.34248,0.5
50,2,50,2,50,1,0.01,0.0005,1.3,0.38805,0.49997
50,2,50,2,50,1,0.01,0.0005,1.4,0.40503,0.51915
50,2,50,2,50,1,0.01,0.0005,1.5,0.41542,0.51668
50,2,50,2,50,1,0.01,0.0005,1.6,0.42165,0.51483
50,2,50,2,50,1,0.01,0.0005,1.7,0.42548,0.5137
50,2,50,2,50,1,0.01,0.0005,1.8,0.42795,0.48704
50,2,50,2,50,1,0.01,0.0005,1.9,0.4296,0.48754
50,2,50,2,50,1,0.01,0.0005,2,0.43073,0.48789
50,2,50,2,50,1,0.01,0.0005,2.1,0.43151,0.48814
50,2,50,2,50,1,0.01,0.0005,2.2,0.43206,0.51168
50,2,50,2,50,1,0.01,0.0005,2.3,0.43244,0.48846
50,2,50,2,50,1,0.01,0.0005,2.4,0.43272,0.48855
50,2,50,2,50,1,0.01,0.0005,2.5,0.43292,0.51138
50,2,50,2,50,1,0.01,0.0005,2.6,0.43306,0.51132
50,2,50,2,50,1,0.01,0.0005,2.7,0.43317,0.48872
50,2,50,2,50,1,0.01,0.0005,2.8,0.43324,0.51125
50,2,50,2,50,1,0.01,0.0005,2.9,0.43329,0.51123
50,2,50,2,50,1,0.01,0.0005,3,0.43333,0.48878
50,2,50,2,50,1,0.01,0.0005,3.1,0.43336,0.4888
50,2,50,2,50,1,0.01,0.0005,3.2,0.43338,0.5112
50,2,50,2,50,1,0.01,0.0005,3.3,0.4334,0.48881
50,2,50,2,50,1,0.01,0.0005,3.4,0.43341,0.51118
50,2,50,2,50,1,0.01,0.0005,3.5,0.43342,0.48882
50,2,50,2,50,1,0.01,0.0005,3.6,0.43342,0.48882
50,2,50,2,50,1,0.01,0.0005,3.7,0.43343,0.51118
50,2,50,2,50,1,0.01,0.0005,3.8,0.43343,0.51117
50,2,50,2,50,1,0.01,0.0005,3.9,0.43343,0.51117
50,2,50,2,50,1,0.01,0.0005,4,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,4.1,0.43344,0.51117
50,2,50,2,50,1,0.01,0.0005,4.2,0.43344,0.51117
50,2,50,2,50,1,0.01,0.0005,4.3,0.43344,0.51117
50,2,50,2,50,1,0.01,0.0005,4.4,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,4.5,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,4.6,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,4.7,0.43344,0.51117
50,2,50,2,50,1,0.01,0.0005,4.8,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,4.9,0.43344,0.48883
50,2,50,2,50,1,0.01,0.0005,5,0.43344,0.48883
50,2,50,2,50,1,0.01,0.001,1,3.10E-11,0.5
50,2,50,2,50,1,0.01,0.001,1.1,0.00012339,0.5
50,2,50,2,50,1,0.01,0.001,1.2,0.14597,0.5
50,2,50,2,50,1,0.01,0.001,1.3,0.26117,0.49999
50,2,50,2,50,1,0.01,0.001,1.4,0.30896,0.50342
50,2,50,2,50,1,0.01,0.001,1.5,0.32416,0.54364
50,2,50,2,50,1,0.01,0.001,1.6,0.34258,0.53557
50,2,50,2,50,1,0.01,0.001,1.7,0.35377,0.53099
50,2,50,2,50,1,0.01,0.001,1.8,0.36102,0.52815
50,2,50,2,50,1,0.01,0.001,1.9,0.36594,0.52625
50,2,50,2,50,1,0.01,0.001,2,0.3694,0.47507
50,2,50,2,50,1,0.01,0.001,2.1,0.37189,0.47603
50,2,50,2,50,1,0.01,0.001,2.2,0.3737,0.52326
50,2,50,2,50,1,0.01,0.001,2.3,0.37505,0.47727
50,2,50,2,50,1,0.01,0.001,2.4,0.37606,0.47768
50,2,50,2,50,1,0.01,0.001,2.5,0.37682,0.52201
50,2,50,2,50,1,0.01,0.001,2.6,0.37739,0.47824
50,2,50,2,50,1,0.01,0.001,2.7,0.37783,0.47843
50,2,50,2,50,1,0.01,0.001,2.8,0.37817,0.52143
50,2,50,2,50,1,0.01,0.001,2.9,0.37843,0.52131
50,2,50,2,50,1,0.01,0.001,3,0.37863,0.47878
50,2,50,2,50,1,0.01,0.001,3.1,0.37879,0.47886
50,2,50,2,50,1,0.01,0.001,3.2,0.37891,0.47891
50,2,50,2,50,1,0.01,0.001,3.3,0.379,0.52104
50,2,50,2,50,1,0.01,0.001,3.4,0.37908,0.479
50,2,50,2,50,1,0.01,0.001,3.5,0.37913,0.52097
50,2,50,2,50,1,0.01,0.001,3.6,0.37918,0.47905
