Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
directDist,0.001,0,1,NaN,0.56756
directDist,0.001,0,1.2,NaN,0.56756
directDist,0.001,0,1.4,NaN,0.56756
directDist,0.001,0,1.6,NaN,0.56756
directDist,0.001,0,1.8,NaN,0.56756
directDist,0.001,0,2,NaN,0.56756
directDist,0.001,0,2.2,NaN,0.56756
directDist,0.001,0,2.4,NaN,0.56756
directDist,0.001,0,2.6,NaN,0.56756
directDist,0.001,0,2.8,NaN,0.56756
directDist,0.001,0,3,NaN,0.56756
directDist,0.001,0,3.2,NaN,0.56756
directDist,0.001,0,3.4,NaN,0.56756
directDist,0.001,0,3.6,NaN,0.56756
directDist,0.001,0,3.8,NaN,0.56756
directDist,0.001,0,4,NaN,0.56756
directDist,0.001,0,4.2,NaN,0.56756
directDist,0.001,0,4.4,NaN,0.56756
directDist,0.001,0,4.6,NaN,0.56756
directDist,0.001,0,4.8,NaN,0.56756
directDist,0.001,0,5,NaN,0.56756
directDist,0.001,0.005,1,0.012302,0.58885
directDist,0.001,0.005,1.2,0.027156,0.68311
directDist,0.001,0.005,1.4,0.039039,0.74273
directDist,0.001,0.005,1.6,0.049166,0.76184
directDist,0.001,0.005,1.8,0.05714,0.76423
directDist,0.001,0.005,2,0.063797,0.76175
directDist,0.001,0.005,2.2,0.068317,0.75986
directDist,0.001,0.005,2.4,0.071492,0.75639
directDist,0.001,0.005,2.6,0.076891,0.74871
directDist,0.001,0.005,2.8,0.079883,0.74519
directDist,0.001,0.005,3,0.08223,0.73995
directDist,0.001,0.005,3.2,0.08687,0.73342
directDist,0.001,0.005,3.4,0.089932,0.73035
directDist,0.001,0.005,3.6,0.094849,0.71732
directDist,0.001,0.005,3.8,0.096239,0.71606
directDist,0.001,0.005,4,0.096963,0.7155
directDist,0.001,0.005,4.2,0.097444,0.71506
directDist,0.001,0.005,4.4,0.09757,0.71303
directDist,0.001,0.005,4.6,0.10096,0.70742
directDist,0.001,0.005,4.8,0.10127,0.70719
directDist,0.001,0.005,5,0.10147,0.70705
directDist,0.001,0.01,1,0.0034213,0.60156
directDist,0.001,0.01,1.2,0.010571,0.72365
directDist,0.001,0.01,1.4,0.015976,0.80322
directDist,0.001,0.01,1.6,0.020056,0.83208
directDist,0.001,0.01,1.8,0.023777,0.83815
directDist,0.001,0.01,2,0.028657,0.83108
directDist,0.001,0.01,2.2,0.034778,0.82061
directDist,0.001,0.01,2.4,0.038845,0.81413
directDist,0.001,0.01,2.6,0.041389,0.80968
directDist,0.001,0.01,2.8,0.043223,0.80377
directDist,0.001,0.01,3,0.04712,0.79296
directDist,0.001,0.01,3.2,0.04937,0.78883
directDist,0.001,0.01,3.4,0.051013,0.78547
directDist,0.001,0.01,3.6,0.053384,0.7772
directDist,0.001,0.01,3.8,0.057161,0.77014
directDist,0.001,0.01,4,0.058259,0.76841
directDist,0.001,0.01,4.2,0.05899,0.76714
directDist,0.001,0.01,4.4,0.059564,0.76591
directDist,0.001,0.01,4.6,0.060115,0.76437
directDist,0.001,0.01,4.8,0.061184,0.76141
directDist,0.001,0.01,5,0.062681,0.75666
directDist,0.001,0.015,1,0.00087213,0.61016
directDist,0.001,0.015,1.2,0.0032271,0.76282
directDist,0.001,0.015,1.4,0.0042124,0.86405
directDist,0.001,0.015,1.6,0.0047708,0.90047
directDist,0.001,0.015,1.8,0.0058068,0.91049
directDist,0.001,0.015,2,0.0071974,0.91001
directDist,0.001,0.015,2.2,0.0091052,0.90416
directDist,0.001,0.015,2.4,0.011633,0.89567
directDist,0.001,0.015,2.6,0.014217,0.88594
directDist,0.001,0.015,2.8,0.017188,0.87212
directDist,0.001,0.015,3,0.021754,0.85818
directDist,0.001,0.015,3.2,0.024854,0.84976
directDist,0.001,0.015,3.4,0.026884,0.84443
directDist,0.001,0.015,3.6,0.028086,0.8404
directDist,0.001,0.015,3.8,0.028974,0.83619
directDist,0.001,0.015,4,0.030092,0.83074
directDist,0.001,0.015,4.2,0.031834,0.82513
directDist,0.001,0.015,4.4,0.032862,0.82172
directDist,0.001,0.015,4.6,0.033445,0.81854
directDist,0.001,0.015,4.8,0.034044,0.8135
directDist,0.001,0.015,5,0.036275,0.80556
directDist,0.001,0.02,1,0.0002257,0.61303
directDist,0.001,0.02,1.2,0.0009831,0.79
directDist,0.001,0.02,1.4,0.00080067,0.90869
directDist,0.001,0.02,1.6,0.0004809,0.94724
directDist,0.001,0.02,1.8,0.00039167,0.95922
directDist,0.001,0.02,2,0.00043236,0.96236
directDist,0.001,0.02,2.2,0.00060343,0.96153
directDist,0.001,0.02,2.4,0.00099335,0.95827
directDist,0.001,0.02,2.6,0.0017565,0.95325
directDist,0.001,0.02,2.8,0.0029113,0.94733
directDist,0.001,0.02,3,0.0040546,0.94169
directDist,0.001,0.02,3.2,0.0049076,0.9364
directDist,0.001,0.02,3.4,0.005563,0.9308
directDist,0.001,0.02,3.6,0.0062356,0.92424
directDist,0.001,0.02,3.8,0.0072872,0.91618
directDist,0.001,0.02,4,0.0089157,0.90715
directDist,0.001,0.02,4.2,0.010336,0.89836
directDist,0.001,0.02,4.4,0.012339,0.8881
directDist,0.001,0.02,4.6,0.014524,0.87978
directDist,0.001,0.02,4.8,0.015814,0.8734
directDist,0.001,0.02,5,0.017225,0.86685
directDist,0.001,0.025,1,6.28E-05,0.61238
directDist,0.001,0.025,1.2,0.00040919,0.80416
directDist,0.001,0.025,1.4,0.00028363,0.93291
directDist,0.001,0.025,1.6,0.00011574,0.9682
directDist,0.001,0.025,1.8,6.44E-05,0.97853
directDist,0.001,0.025,2,4.73E-05,0.98217
directDist,0.001,0.025,2.2,4.14E-05,0.98342
directDist,0.001,0.025,2.4,4.04E-05,0.98356
directDist,0.001,0.025,2.6,4.24E-05,0.98306
directDist,0.001,0.025,2.8,4.68E-05,0.98213
directDist,0.001,0.025,3,5.39E-05,0.98082
directDist,0.001,0.025,3.2,6.48E-05,0.97918
directDist,0.001,0.025,3.4,8.17E-05,0.97719
directDist,0.001,0.025,3.6,0.00010901,0.97484
directDist,0.001,0.025,3.8,0.00015461,0.97212
directDist,0.001,0.025,4,0.00023376,0.96899
directDist,0.001,0.025,4.2,0.00037569,0.9654
directDist,0.001,0.025,4.4,0.00063417,0.9613
directDist,0.001,0.025,4.6,0.0011073,0.9566
directDist,0.001,0.025,4.8,0.0019305,0.95135
directDist,0.001,0.025,5,0.0030155,0.94625
directDist,0.001,0.03,1,1.89E-05,0.61036
directDist,0.001,0.03,1.2,0.00023122,0.80958
directDist,0.001,0.03,1.4,0.00015591,0.94505
directDist,0.001,0.03,1.6,5.05E-05,0.97732
directDist,0.001,0.03,1.8,2.38E-05,0.98593
directDist,0.001,0.03,2,1.55E-05,0.98901
directDist,0.001,0.03,2.2,1.23E-05,0.9903
directDist,0.001,0.03,2.4,1.10E-05,0.99083
directDist,0.001,0.03,2.6,1.06E-05,0.99098
directDist,0.001,0.03,2.8,1.07E-05,0.9909
directDist,0.001,0.03,3,1.11E-05,0.99067
directDist,0.001,0.03,3.2,1.17E-05,0.99033
directDist,0.001,0.03,3.4,1.26E-05,0.9899
directDist,0.001,0.03,3.6,1.37E-05,0.98939
directDist,0.001,0.03,3.8,1.50E-05,0.9888
directDist,0.001,0.03,4,1.65E-05,0.98814
directDist,0.001,0.03,4.2,1.83E-05,0.98742
directDist,0.001,0.03,4.4,2.03E-05,0.98664
directDist,0.001,0.03,4.6,2.25E-05,0.98581
directDist,0.001,0.03,4.8,2.50E-05,0.98492
directDist,0.001,0.03,5,2.77E-05,0.98398
directDist,0.001,0.035,1,5.94E-06,0.60817
directDist,0.001,0.035,1.2,0.00015459,0.81042
directDist,0.001,0.035,1.4,9.98E-05,0.95134
directDist,0.001,0.035,1.6,2.65E-05,0.98188
directDist,0.001,0.035,1.8,1.10E-05,0.98941
directDist,0.001,0.035,2,6.56E-06,0.99205
directDist,0.001,0.035,2.2,4.89E-06,0.99321
directDist,0.001,0.035,2.4,4.14E-06,0.99377
directDist,0.001,0.035,2.6,3.79E-06,0.99404
directDist,0.001,0.035,2.8,3.64E-06,0.99415
directDist,0.001,0.035,3,3.62E-06,0.99416
directDist,0.001,0.035,3.2,3.67E-06,0.9941
directDist,0.001,0.035,3.4,3.79E-06,0.994
directDist,0.001,0.035,3.6,3.95E-06,0.99386
directDist,0.001,0.035,3.8,4.15E-06,0.99369
directDist,0.001,0.035,4,4.39E-06,0.99349
directDist,0.001,0.035,4.2,4.66E-06,0.99327
directDist,0.001,0.035,4.4,4.97E-06,0.99303
directDist,0.001,0.035,4.6,5.31E-06,0.99277
directDist,0.001,0.035,4.8,5.67E-06,0.9925
directDist,0.001,0.035,5,6.07E-06,0.99222
directDist,0.001,0.04,1,1.88E-06,0.60626
directDist,0.001,0.04,1.2,0.00011336,0.80928
directDist,0.001,0.04,1.4,7.02E-05,0.9547
directDist,0.001,0.04,1.6,1.59E-05,0.98441
directDist,0.001,0.04,1.8,5.94E-06,0.99128
directDist,0.001,0.04,2,3.33E-06,0.99365
directDist,0.001,0.04,2.2,2.37E-06,0.99469
directDist,0.001,0.04,2.4,1.93E-06,0.99522
directDist,0.001,0.04,2.6,1.71E-06,0.9955
directDist,0.001,0.04,2.8,1.60E-06,0.99566
directDist,0.001,0.04,3,1.54E-06,0.99573
directDist,0.001,0.04,3.2,1.52E-06,0.99576
directDist,0.001,0.04,3.4,1.52E-06,0.99575
directDist,0.001,0.04,3.6,1.54E-06,0.99572
directDist,0.001,0.04,3.8,1.58E-06,0.99567
directDist,0.001,0.04,4,1.63E-06,0.9956
directDist,0.001,0.04,4.2,1.68E-06,0.99552
directDist,0.001,0.04,4.4,1.75E-06,0.99543
directDist,0.001,0.04,4.6,1.82E-06,0.99534
directDist,0.001,0.04,4.8,1.90E-06,0.99523
directDist,0.001,0.04,5,1.98E-06,0.99512
directDist,0.001,0.045,1,5.88E-07,0.60474
directDist,0.001,0.045,1.2,8.80E-05,0.80749
directDist,0.001,0.045,1.4,5.27E-05,0.95653
directDist,0.001,0.045,1.6,1.05E-05,0.98593
directDist,0.001,0.045,1.8,3.63E-06,0.9924
directDist,0.001,0.045,2,1.94E-06,0.99458
directDist,0.001,0.045,2.2,1.33E-06,0.99554
directDist,0.001,0.045,2.4,1.06E-06,0.99603
directDist,0.001,0.045,2.6,9.16E-07,0.99631
directDist,0.001,0.045,2.8,8.37E-07,0.99648
directDist,0.001,0.045,3,7.92E-07,0.99657
directDist,0.001,0.045,3.2,7.66E-07,0.99663
directDist,0.001,0.045,3.4,7.55E-07,0.99665
directDist,0.001,0.045,3.6,7.52E-07,0.99666
directDist,0.001,0.045,3.8,7.55E-07,0.99665
