Beta,Var,Total_prop_Ls
1.2,0.030375,0.11437
1.2,0.00010876,0.0058428
1.2,0.015937,0.95489
1.2,0.091628,0.47595
1.2,0.016381,0.95431
1.2,9.74E-07,0.99971
1.2,0.07604,0.78472
1.2,0.078623,0.63081
1.2,0.00018906,0.0091845
1.2,1.51E-08,0.99998
1.2,1.14E-06,0.99971
1.2,0.0049139,0.043897
1.2,0.073629,0.21279
1.2,0.014602,0.91248
1.2,1.81E-08,0.99999
1.2,1.52E-07,0.9999
1.2,0.031505,0.13704
1.2,3.55E-08,0.99997
1.2,3.93E-07,0.99987
1.2,0.078792,0.22025
1.2,0.092009,0.49059
1.2,0.077599,0.78209
1.2,0.07175,0.7971
1.2,5.14E-08,0.99997
1.2,2.18E-06,0.99946
1.2,1.00E-07,0.99996
1.2,2.16E-08,0.99997
1.2,0.079987,0.77658
1.2,2.16E-06,0.99966
1.2,1.68E-05,0.0014296
1.2,8.28E-08,0.99994
1.2,0.009612,0.93415
1.2,0.076251,0.54891
1.2,0.017626,0.95212
1.2,0.0059437,0.94176
1.2,3.02E-07,0.99983
1.2,0.074869,0.78824
1.2,2.14E-08,0.99997
1.2,0.0076713,0.086562
1.2,2.27E-06,0.99953
1.2,4.95E-08,0.99996
1.2,0.0017518,0.97464
1.2,0.015034,0.95651
1.2,0.07772,0.38825
1.2,7.55E-08,0.99996
1.2,2.30E-08,0.99998
1.2,0.068051,0.8062
1.2,6.29E-07,0.99977
1.2,6.88E-08,0.99993
1.2,2.61E-06,0.99954
1.2,8.37E-07,0.99971
1.2,3.97E-07,0.99989
1.2,0.07297,0.55372
1.2,7.54E-08,0.99993
1.2,0.093638,0.32682
1.2,8.47E-09,0.99999
1.2,0.062412,0.8002
1.2,8.51E-06,0.99921
1.2,0.014777,0.91098
1.2,0.092282,0.29653
1.2,2.85E-07,0.99989
1.2,2.68E-08,0.99997
1.2,3.78E-07,0.99988
1.2,9.47E-09,0.99998
1.2,0.0090528,0.93804
1.2,0.086497,0.73088
1.2,0.00014878,0.99083
1.2,9.87E-07,0.0002512
1.2,0.048856,0.14835
1.2,0.091441,0.37948
1.2,0.078734,0.77848
1.2,0.072046,0.79564
1.2,0.081659,0.60999
1.2,0.012766,0.92119
1.2,0.044788,0.68059
1.2,0.086056,0.58939
1.2,0.077311,0.2162
1.2,7.00E-07,0.99979
1.2,2.59E-08,0.99997
1.2,8.06E-05,0.0037142
1.2,9.29E-07,0.99973
1.2,6.82E-08,0.99995
1.2,0.076,0.78608
1.2,0.070801,0.79931
1.2,1.28E-07,0.99993
1.2,1.25E-06,0.99973
1.2,4.68E-06,0.9992
1.2,0.090437,0.51125
1.2,3.33E-08,0.99997
1.2,6.56E-08,0.99992
1.2,8.98E-06,0.99891
1.2,0.073256,0.79308
1.2,6.62E-08,0.99995
1.2,0.088493,0.36027
1.2,1.00E-05,0.99873
1.2,0.016384,0.95397
1.2,1.74E-06,0.99961
1.2,1.51E-08,0.99999
1.2,6.05E-08,0.99995
1.2,0.065639,0.50785
