Beta,Var,Total_prop_Ls
1,3.86E-05,0.65518
1,5.39E-05,0.68283
1,1.30E-05,0.8169
1,1.69E-05,0.71716
1,3.57E-05,0.75307
1,1.69E-05,0.66843
1,0.00032848,0.57747
1,4.50E-06,0.71936
1,6.97E-05,0.66593
1,2.02E-05,0.44423
1,0.00015169,0.52618
1,5.45E-05,0.54162
1,6.36E-05,0.71491
1,1.05E-05,0.52517
1,7.75E-05,0.6406
1,2.56E-05,0.62512
1,1.33E-05,0.73076
1,1.16E-05,0.53533
1,2.76E-05,0.68185
1,1.28E-06,0.58957
1,0.0001302,0.6052
1,9.99E-06,0.41691
1,0.00019949,0.43561
1,3.31E-05,0.57555
1,5.57E-05,0.68176
1,1.79E-05,0.76518
1,8.02E-06,0.43916
1,0.00015611,0.65122
1,7.37E-05,0.52375
1,1.96E-06,0.67725
1,8.28E-06,0.67692
1,4.96E-05,0.46321
1,3.93E-05,0.54486
1,1.29E-05,0.57745
1,9.75E-05,0.73988
1,3.49E-05,0.76126
1,5.92E-05,0.62345
1,2.47E-05,0.62241
1,4.53E-06,0.6435
1,8.03E-05,0.71979
1,0.00012741,0.51355
1,3.26E-06,0.49038
1,3.88E-05,0.65886
1,0.00023255,0.58377
1,0.00031451,0.58677
1,2.55E-05,0.43916
1,5.27E-05,0.61156
1,3.20E-05,0.64092
1,5.91E-05,0.71984
1,7.87E-05,0.67302
1,0.00014228,0.73677
1,4.02E-05,0.54508
1,7.07E-05,0.59424
1,8.46E-05,0.42483
1,9.27E-05,0.54466
1,9.40E-06,0.7595
1,0.00025831,0.65746
1,1.82E-05,0.55616
1,8.94E-05,0.57536
1,0.00030603,0.58252
1,7.73E-05,0.74336
1,6.26E-06,0.66204
1,2.74E-05,0.62173
1,3.69E-05,0.59985
1,0.00010291,0.57527
1,0.00028681,0.47062
1,2.93E-05,0.60236
1,3.68E-05,0.45463
1,9.41E-05,0.59932
1,4.76E-05,0.61269
1,3.53E-05,0.70031
1,0.0001116,0.59412
1,9.29E-05,0.53569
1,6.84E-05,0.50939
1,5.36E-05,0.52851
1,1.01E-05,0.65107
1,5.01E-06,0.62838
1,0.00010043,0.51362
1,5.92E-05,0.71281
1,0.00010671,0.49891
1,0.00030422,0.54965
1,0.00013135,0.35325
1,1.41E-05,0.37421
1,0.00021485,0.46893
1,4.44E-05,0.69362
1,5.52E-05,0.75508
1,2.21E-05,0.45263
1,1.55E-05,0.41386
1,2.03E-05,0.70623
1,6.08E-05,0.71343
1,7.19E-05,0.79004
1,0.00026263,0.51556
1,0.00012434,0.65045
1,1.72E-05,0.54546
1,1.96E-05,0.72787
1,4.74E-05,0.57747
1,2.47E-05,0.6159
1,0.00020657,0.49691
1,1.07E-05,0.71298
1,0.00012599,0.71741
1.2,0.00038318,0.98472
1.2,0.073152,0.4048
1.2,0.013565,0.90989
1.2,0.065754,0.5958
1.2,0.0051701,0.9481
1.2,4.56E-09,0.99999
1.2,3.24E-09,0.99999
1.2,1.47E-08,0.99998
1.2,3.19E-09,0.99999
1.2,2.28E-05,0.99767
1.2,0.062901,0.66541
1.2,3.14E-07,0.99986
1.2,0.021096,0.1575
1.2,0.061087,0.67958
1.2,0.00020971,0.98768
1.2,0.072566,0.72363
1.2,0.001422,0.96636
1.2,3.01E-05,0.0024355
1.2,0.00019132,0.009888
1.2,0.052685,0.81914
1.2,5.13E-09,0.99999
1.2,0.073017,0.60215
1.2,0.0070826,0.065503
1.2,1.37E-05,0.99835
1.2,0.033365,0.81795
1.2,3.48E-08,0.99996
1.2,0.010404,0.93107
1.2,0.049503,0.828
1.2,0.046525,0.76075
1.2,1.41E-05,0.99829
1.2,1.54E-07,0.99991
1.2,1.89E-07,0.9999
1.2,0.024324,0.15239
1.2,1.29E-07,0.99992
1.2,0.07375,0.27177
1.2,7.45E-07,0.99982
1.2,9.79E-09,0.99998
1.2,0.057939,0.80578
1.2,0.038528,0.85164
1.2,7.49E-05,0.99431
1.2,0.00019482,0.98997
1.2,0.076917,0.28719
1.2,1.20E-08,0.99998
1.2,0.069539,0.7568
1.2,0.071527,0.25615
1.2,4.37E-08,0.99996
1.2,0.03035,0.7847
1.2,1.05E-06,0.99981
1.2,1.25E-07,0.99991
1.2,1.44E-09,0.99999
1.2,0.026525,0.87273
1.2,2.41E-07,0.99988
1.2,2.39E-08,0.99998
1.2,2.80E-07,0.99992
1.2,1.88E-06,0.99962
1.2,0.0098807,0.92933
1.2,0.04595,0.76258
1.2,2.82E-09,0.99999
1.2,0.0084089,0.97
1.2,3.90E-08,0.99996
1.2,0.076268,0.52483
1.2,1.43E-05,0.99824
1.2,1.02E-06,0.99973
1.2,0.0058131,0.97661
1.2,0.071013,0.73337
1.2,3.37E-08,0.99997
1.2,1.52E-05,0.99848
1.2,2.86E-08,0.99997
1.2,0.078816,0.29748
1.2,1.24E-06,0.99969
1.2,4.40E-09,0.99999
1.2,3.51E-08,0.99997
1.2,0.0044961,0.044051
1.2,2.15E-09,0.99999
1.2,1.28E-09,1
1.2,0.00057687,0.97798
1.2,0.01474,0.95311
1.2,5.35E-07,0.9998
1.2,5.21E-09,0.99999
1.2,2.11E-08,0.99997
1.2,5.92E-07,0.99981
1.2,2.04E-07,0.99987
1.2,0.04369,0.83851
1.2,0.023012,0.12789
1.2,4.78E-07,0.99981
1.2,1.31E-06,0.99968
1.2,0.0025202,0.96818
1.2,1.77E-09,1
1.2,0.077348,0.43938
1.2,1.87E-09,0.99999
1.2,4.30E-06,0.99937
1.2,0.0090917,0.96759
1.2,3.12E-08,0.99997
1.2,4.81E-09,0.99999
1.2,2.16E-06,0.99947
1.2,0.052945,0.18423
1.2,0.032717,0.2307
1.2,3.33E-08,0.99997
1.2,1.52E-06,0.99973
1.2,4.50E-06,0.99912
