Beta,Var,Total_prop_Ls,PoolL,PoolR
1,7.61E-06,0.47912,NA,NA
1,0.00021864,0.65131,NA,NA
1,0.00085627,0.60358,NA,NA
1,1.77E-05,0.44507,NA,NA
1,0.00040881,0.62134,NA,NA
1,1.37E-05,0.67854,NA,NA
1,0.00087738,0.64756,NA,NA
1,9.79E-06,0.89032,NA,NA
1,2.96E-05,0.79669,NA,NA
1,0.00020753,0.71586,NA,NA
1,0.00036858,0.6777,NA,NA
1,0.00064386,0.64166,NA,NA
1,1.34E-05,0.39927,NA,NA
1,9.77E-06,0.64366,NA,NA
1,1.91E-05,0.71848,NA,NA
1,2.71E-05,0.45732,NA,NA
1,8.35E-06,0.48814,NA,NA
1,0.00010364,0.61183,NA,NA
1,2.73E-05,0.52267,NA,NA
1,0.00068634,0.49795,NA,NA
1,4.67E-05,0.64709,NA,NA
1,0.00017807,0.53305,NA,NA
1,6.42E-05,0.67194,NA,NA
1,0.00066663,0.57064,NA,NA
1,0.00017639,0.64362,NA,NA
1,0.0001986,0.5241,NA,NA
1,3.52E-05,0.49364,NA,NA
1,3.33E-05,0.67758,NA,NA
1,7.36E-06,0.60093,NA,NA
1,4.36E-05,0.58359,NA,NA
1,7.08E-05,0.6098,NA,NA
1,0.00028851,0.62454,NA,NA
1,0.00025309,0.4833,NA,NA
1,8.49E-05,0.61613,NA,NA
1,3.54E-05,0.58612,NA,NA
1,4.11E-05,0.65768,NA,NA
1,1.16E-05,0.71552,NA,NA
1,1.07E-05,0.30061,NA,NA
1,0.00067785,0.47045,NA,NA
1,0.00010126,0.66686,NA,NA
1,0.00043445,0.62795,NA,NA
1,8.58E-05,0.75153,NA,NA
1,0.00057403,0.57349,NA,NA
1,7.69E-06,0.57683,NA,NA
1,0.00014347,0.70539,NA,NA
1,0.00012502,0.64102,NA,NA
1,2.10E-05,0.77773,NA,NA
1,3.09E-06,0.72431,NA,NA
1,0.00085934,0.47031,NA,NA
1,9.63E-05,0.37537,NA,NA
1,0.00023437,0.68596,NA,NA
1,0.00082839,0.62841,NA,NA
1,1.06E-05,0.81959,NA,NA
1,6.87E-05,0.63083,NA,NA
1,3.99E-05,0.4134,NA,NA
1,0.00019425,0.68637,NA,NA
1,9.00E-05,0.74954,NA,NA
1,6.96E-06,0.5978,NA,NA
1,5.15E-05,0.6857,NA,NA
1,6.05E-05,0.61975,NA,NA
1,0.00044832,0.48643,NA,NA
1,0.00015794,0.60318,NA,NA
1,0.00015737,0.51499,NA,NA
1,0.00015743,0.54711,NA,NA
1,0.00040245,0.74159,NA,NA
1,8.07E-05,0.68616,NA,NA
1,2.45E-05,0.7757,NA,NA
1,0.00090376,0.55565,NA,NA
1,3.91E-05,0.73741,NA,NA
1,4.10E-06,0.54075,NA,NA
1,0.00026022,0.67827,NA,NA
1,0.00020315,0.54148,NA,NA
1,0.000633,0.53154,NA,NA
1,3.09E-05,0.34612,NA,NA
1,0.00018672,0.60332,NA,NA
1,8.86E-06,0.63331,NA,NA
1,2.84E-05,0.65053,NA,NA
1,7.03E-05,0.60403,NA,NA
1,4.00E-05,0.75034,NA,NA
1,0.00014281,0.52385,NA,NA
1,4.83E-06,0.66938,NA,NA
1,7.10E-05,0.52561,NA,NA
1,0.00022508,0.49653,NA,NA
1,6.08E-05,0.5993,NA,NA
1,0.00052825,0.73437,NA,NA
1,1.28E-05,0.78455,NA,NA
1,0.00038162,0.50438,NA,NA
1,1.91E-05,0.58049,NA,NA
1,0.00053745,0.54568,NA,NA
1,0.0010101,0.58728,NA,NA
1,7.13E-06,0.64834,NA,NA
1,5.93E-05,0.69194,NA,NA
1,9.33E-05,0.56238,NA,NA
1,7.99E-05,0.38197,NA,NA
1,1.33E-05,0.49999,NA,NA
1,0.00045875,0.57116,NA,NA
1,0.00088514,0.40074,NA,NA
1,0.00012332,0.47393,NA,NA
1,3.01E-05,0.64504,NA,NA
1,1.61E-05,0.74007,NA,NA
1.2,0.093122,0.50742,88,48
1.2,0.00010623,0.99381,85,54
1.2,1.09E-06,0.99974,58,51
1.2,0.0026298,0.96073,91,68
1.2,6.99E-06,0.99914,76,65
1.2,7.84E-06,0.00088498,67,99
1.2,0.00093682,0.98092,83,48
1.2,2.58E-08,0.99998,114,35
1.2,0.092897,0.43501,86,99
1.2,0.0068863,0.93181,48,53
1.2,0.015213,0.95601,95,73
1.2,0.09245,0.54287,141,108
1.2,5.71E-08,0.99996,64,21
1.2,1.68E-08,0.99997,92,36
1.2,0.064271,0.40145,53,57
1.2,1.89E-08,0.99998,116,41
1.2,2.75E-07,0.99979,146,60
1.2,5.71E-07,0.99988,127,66
1.2,3.32E-08,0.99997,105,36
1.2,2.37E-08,0.99997,83,37
1.2,0.085945,0.751,44,112
1.2,0.08743,0.35347,58,65
1.2,0.00020595,0.010197,53,80
1.2,1.39E-07,0.99992,125,74
1.2,7.41E-07,0.99979,99,85
1.2,1.74E-07,0.99991,105,41
1.2,1.76E-07,0.99992,58,56
1.2,0.04058,0.31065,53,72
1.2,1.56E-08,0.99998,148,82
1.2,0.076992,0.38307,87,94
1.2,0.072227,0.79517,68,53
1.2,0.063322,0.81544,71,83
1.2,0.06825,0.20416,51,96
1.2,4.43E-09,0.99999,93,25
1.2,0.082163,0.68469,67,69
1.2,9.27E-07,0.99972,105,74
1.2,0.07718,0.78233,94,91
1.2,3.24E-09,0.99999,143,64
1.2,0.077238,0.76959,82,73
1.2,1.46E-07,0.99992,148,61
1.2,1.50E-08,0.99998,188,50
1.2,9.48E-05,0.993,121,78
1.2,0.066861,0.68551,89,77
1.2,6.25E-06,0.99914,98,74
1.2,3.54E-09,0.99999,140,40
1.2,2.24E-09,0.99999,138,20
1.2,1.77E-07,0.99994,105,48
1.2,0.077952,0.78079,48,67
1.2,1.93E-08,0.99997,95,32
1.2,2.76E-06,0.99947,114,53
1.2,9.61E-09,0.99999,120,15
1.2,3.29E-07,0.99986,117,47
1.2,0.00010429,0.99381,72,72
1.2,9.95E-09,0.99999,99,23
1.2,0.069252,0.80326,76,36
1.2,0.085365,0.59926,68,72
1.2,8.68E-08,0.99995,50,30
1.2,0.091738,0.69354,47,101
1.2,0.00041871,0.99152,102,75
1.2,1.31E-08,0.99999,108,30
1.2,3.30E-09,0.99999,152,58
1.2,2.66E-08,0.99996,95,55
1.2,8.82E-07,0.9998,79,71
1.2,0.018117,0.94949,64,55
1.2,4.89E-09,0.99999,70,36
1.2,1.16E-08,0.99999,105,20
1.2,0.089029,0.50247,46,74
1.2,0.00063112,0.98191,76,74
1.2,1.33E-09,0.99999,49,50
1.2,8.21E-08,0.99995,88,32
1.2,4.59E-07,0.99982,96,42
1.2,1.55E-09,0.99999,108,43
1.2,0.064286,0.29627,62,131
1.2,0.062378,0.81392,155,73
1.2,0.015206,0.90935,146,89
1.2,4.80E-09,0.99999,135,41
1.2,7.48E-09,0.99998,95,36
1.2,0.07454,0.78694,193,78
1.2,0.0692,0.79348,73,63
1.2,1.05E-06,0.99972,82,57
1.2,1.90E-10,1,118,44
1.2,3.47E-09,0.99999,82,26
1.2,0.042091,0.79694,83,42
1.2,6.07E-07,0.00012832,51,66
1.2,0.084033,0.65763,118,94
1.2,1.60E-05,0.99823,157,90
1.2,3.32E-07,0.99986,120,76
1.2,0.057975,0.62273,74,49
1.2,0.086913,0.55464,74,79
1.2,0.04975,0.42481,98,112
1.2,0.087987,0.27226,60,45
1.2,3.70E-08,0.99998,97,26
1.2,1.18E-06,0.99983,111,63
1.2,4.87E-08,0.99996,56,42
1.2,0.035154,0.17759,79,95
1.2,3.84E-07,0.99984,108,48
1.2,0.00033678,0.99092,79,71
1.2,0.020264,0.91327,88,34
1.2,0.019009,0.91705,105,46
1.2,0.030444,0.18667,96,92
1.2,1.78E-08,0.99998,99,42
1.2,5.62E-08,0.99997,121,49
1.2,1.33E-06,0.99968,86,53
1.2,0.074346,0.78426,71,69
1.2,1.81E-07,0.99995,127,58
1.2,0.078118,0.2197,96,74
1.2,1.17E-07,0.99994,97,78
1.2,1.42E-05,0.99853,119,104
1.2,0.014351,0.95751,101,80
1.2,0.04219,0.79139,102,31
1.2,0.0015747,0.96588,41,56
1.2,8.87E-06,0.00080465,81,114
1.2,0.026576,0.91711,88,74
1.2,0.076036,0.59994,110,101
1.2,6.56E-09,0.99999,83,35
1.2,0.072961,0.79315,75,55
1.2,0.0030353,0.95493,103,83
1.2,3.84E-07,0.99987,70,43
1.2,5.18E-08,0.99996,113,34
1.2,9.59E-10,1,138,42
1.2,2.38E-05,0.99752,146,71
1.2,4.90E-07,0.99984,109,85
1.2,0.021413,0.87594,119,68
1.2,3.03E-07,0.99993,103,46
1.2,1.29E-09,1,111,70
1.2,6.69E-06,0.99921,101,52
1.2,4.30E-06,0.99936,68,42
1.2,0.015913,0.95513,96,68
1.2,1.26E-07,0.99995,64,47
1.2,1.04E-05,0.99901,82,32
1.2,1.66E-06,0.99966,84,54
1.2,5.89E-07,0.99978,116,62
1.2,9.83E-08,0.99994,95,54
1.2,2.82E-09,0.99999,99,35
1.2,1.98E-05,0.99837,87,75
1.2,0.093807,0.37562,91,74
1.2,0.0098517,0.93483,124,50
1.2,2.22E-06,0.99973,109,47
1.2,6.69E-08,0.99995,118,48
1.2,3.65E-08,0.99996,66,23
1.2,0.073293,0.79121,126,89
1.2,3.07E-09,0.99999,120,38
1.2,0.00014536,0.009321,56,106
1.2,4.42E-10,1,105,36
1.2,1.62E-06,0.99976,84,70
1.2,0.035527,0.16616,86,85
1.2,2.21E-09,0.99999,117,31
1.2,5.91E-06,0.9992,66,48
1.2,3.24E-06,0.99939,56,36
1.2,0.065665,0.81169,130,73
1.2,5.84E-05,0.9967,109,116
1.2,0.085212,0.5367,67,65
1.2,0.069284,0.80285,95,66
1.2,0.076437,0.74471,85,105
1.2,1.39E-09,0.99999,106,27
1.2,2.91E-07,0.99993,70,46
1.2,0.0080632,0.97455,91,73
1.2,0.075801,0.78529,82,64
1.2,3.20E-05,0.9973,174,83
1.2,1.55E-07,0.99995,161,78
1.2,2.70E-06,0.99948,41,49
1.2,0.084648,0.75858,43,92
1.2,0.068667,0.77306,64,54
1.2,0.0035186,0.03586,63,131
1.2,3.96E-09,0.99999,86,68
1.2,0.020462,0.88784,72,43
1.2,4.39E-10,1,125,56
1.2,1.26E-06,0.99971,60,42
1.2,0.072408,0.21216,83,100
1.2,2.78E-05,0.99746,72,45
1.2,0.017907,0.95141,46,62
1.2,9.44E-09,0.99998,145,34
1.2,0.044371,0.77457,90,74
1.2,0.077108,0.78115,88,92
1.2,0.091071,0.44573,77,116
1.2,0.085906,0.2698,85,97
1.2,3.46E-07,0.99987,78,37
1.2,4.20E-08,3.41E-05,79,141
1.2,0.0021123,0.97227,111,38
1.2,2.68E-08,0.99998,103,21
1.2,0.067825,0.49446,74,74
1.2,1.11E-06,0.9997,125,75
1.2,4.48E-09,0.99999,97,30
1.2,8.38E-08,0.99995,78,41
1.2,0.087248,0.41341,109,117
1.2,5.32E-07,0.99982,109,49
1.2,0.085696,0.25962,100,84
1.2,0.0096443,0.94416,124,27
1.2,0.093175,0.49448,116,64
1.2,3.20E-08,0.99996,98,27
1.2,1.39E-06,0.99963,132,84
1.2,1.13E-05,0.99904,76,57
1.2,1.03E-08,0.99998,122,35
1.2,2.62E-08,0.99997,126,51
1.2,0.070091,0.2041,68,68
1.2,3.34E-08,0.99997,51,33
1.2,0.076268,0.36253,55,76
1.2,9.03E-06,0.99861,41,71
1.2,1.03E-08,0.99998,108,34
1.2,0.071486,0.79828,135,87
1.2,9.43E-08,0.99994,104,48
1.2,0.017544,0.95215,115,70
1.2,0.00056835,0.99123,66,62
1.2,4.07E-08,0.99997,153,41
1.2,2.61E-09,0.99999,139,41
1.2,5.08E-06,0.99928,106,110
1.2,0.035305,0.22593,63,109
1.2,1.78E-09,0.99999,170,55
1.2,8.12E-08,5.30E-05,58,121
1.2,1.82E-09,7.07E-06,55,98
1.2,0.077262,0.21749,71,108
1.2,2.84E-05,0.99771,91,37
1.2,1.32E-06,0.9998,64,48
1.2,0.092457,0.31213,53,49
1.2,0.0079919,0.9422,72,48
1.2,0.063163,0.71976,66,54
1.2,0.065528,0.79655,81,88
1.2,0.017467,0.95225,88,86
1.2,7.31E-09,0.99999,76,32
1.2,0.087049,0.55854,73,87
1.2,0.016851,0.90203,104,52
1.2,5.48E-08,0.99996,90,45
1.2,1.01E-08,0.99998,144,59
1.2,3.22E-08,0.99997,100,25
1.2,5.35E-06,0.99912,69,51
1.2,0.026328,0.91921,78,66
1.2,0.017243,0.95276,56,40
1.2,1.42E-09,0.99999,114,34
1.2,0.053327,0.7564,102,52
1.2,0.01853,0.94881,75,79
1.2,0.090003,0.47287,77,82
1.2,1.14E-07,0.99993,80,21
1.2,4.57E-06,0.99931,105,64
1.2,1.18E-08,0.99998,148,25
1.2,0.077416,0.64691,101,34
1.2,0.086727,0.37153,97,90
1.2,0.0001543,0.98975,65,62
1.2,2.72E-08,0.99996,105,29
1.2,7.06E-09,0.99999,103,48
1.2,8.02E-08,0.99996,173,75
1.2,1.20E-05,0.99866,83,77
1.2,0.01488,0.95687,132,60
1.2,6.15E-05,0.99536,87,28
1.2,3.09E-08,0.99998,110,38
1.2,1.22E-08,0.99998,113,29
1.2,0.078474,0.74938,88,110
1.2,0.081983,0.68739,67,84
1.2,3.46E-09,0.99999,118,48
1.2,0.084623,0.23718,94,43
1.2,0.023198,0.86389,92,93
1.2,3.76E-09,0.99999,143,43
1.2,5.64E-08,0.99996,108,33
1.2,5.49E-09,0.99999,119,44
1.2,4.09E-08,0.99996,149,48
1.2,0.071008,0.40595,64,85
1.2,0.079078,0.36001,74,86
1.2,1.11E-07,0.99995,138,44
1.2,2.70E-08,0.99998,128,44
1.2,1.01E-05,0.99867,123,74
1.2,6.97E-09,0.99998,164,35
1.2,5.68E-06,0.00086734,61,81
1.2,0.079455,0.77533,101,84
1.2,1.11E-07,0.99994,152,60
1.2,9.06E-08,0.99995,101,41
1.2,1.60E-05,0.99836,148,73
1.2,0.013398,0.9593,56,32
1.2,0.03811,0.86093,90,47
1.2,0.062617,0.18729,94,142
1.2,0.0944,0.44778,104,96
1.2,0.078947,0.77866,48,91
1.2,0.00032556,0.99212,105,83
1.2,2.68E-07,0.99989,137,61
1.2,4.75E-08,0.99996,115,56
1.2,0.016567,0.95399,99,63
1.2,0.003669,0.95807,102,100
1.2,0.00016134,0.007738,78,99
1.2,0.0781,0.63004,52,48
1.2,3.80E-06,0.99954,55,40
1.2,0.065284,0.80795,124,55
1.2,0.093208,0.47081,98,74
1.2,0.0037193,0.96394,147,91
1.2,4.77E-08,0.99996,62,36
1.2,0.088099,0.51324,86,99
1.2,5.04E-08,0.99995,42,33
1.2,0.087261,0.59929,77,25
1.2,0.066285,0.48743,75,99
1.2,3.20E-05,0.99746,49,63
1.2,0.015902,0.89862,101,65
1.2,6.82E-06,0.99913,100,51
1.2,0.0076105,0.92324,115,65
1.2,7.82E-09,0.99999,106,37
1.2,0.073842,0.34414,60,90
1.2,1.69E-06,0.99961,127,46
1.2,0.04454,0.26085,35,51
1.2,6.89E-08,0.99996,91,46
1.2,3.45E-06,0.99937,99,59
1.2,0.00037901,0.99062,83,90
1.2,0.013904,0.95836,165,81
1.2,3.17E-09,0.99999,157,52
1.2,1.21E-06,0.99975,80,55
1.2,0.032032,0.8358,104,69
1.2,8.57E-08,0.99995,84,25
1.2,0.087282,0.72773,63,76
1.2,0.019687,0.94198,49,90
1.2,2.29E-08,0.99997,105,50
1.2,2.39E-06,0.99958,113,73
1.2,0.0071061,0.93795,82,81
1.2,0.015874,0.95513,65,43
1.2,0.00092045,0.98696,53,62
1.2,0.0055359,0.93972,69,60
1.2,1.82E-07,0.9999,160,24
1.2,0.075826,0.77402,57,51
1.2,0.068755,0.80264,72,65
1.2,0.016404,0.9543,161,85
1.2,3.10E-07,0.99987,87,36
1.2,1.24E-09,0.99999,147,29
1.2,0.012456,0.96123,121,84
1.2,0.013147,0.9598,98,70
1.2,0.012638,0.96069,116,37
1.2,0.021859,0.91301,65,32
1.2,5.20E-07,0.99983,96,77
1.2,1.53E-07,0.99992,112,64
1.2,1.55E-10,1,88,34
1.2,2.44E-07,0.99988,112,41
1.2,0.086064,0.38021,113,75
1.2,7.62E-06,0.99916,58,50
1.2,6.73E-09,0.99999,141,49
1.2,0.090777,0.44284,117,99
1.2,2.01E-08,0.99997,160,69
1.2,0.092001,0.5672,65,64
1.2,0.04737,0.17886,70,90
1.2,6.10E-05,0.99568,89,75
1.2,0.00019535,0.98924,48,41
1.2,0.064282,0.36176,106,103
1.2,0.019066,0.91626,53,31
1.2,0.024108,0.87161,103,85
1.2,1.96E-07,0.9999,108,57
1.2,5.24E-05,0.9957,61,49
1.2,0.092973,0.53944,85,73
1.2,0.074965,0.21294,74,85
1.2,0.090864,0.54849,46,46
1.2,0.085072,0.25001,68,24
1.2,1.57E-06,0.99965,68,69
1.2,1.33E-07,0.99994,96,74
1.2,2.43E-06,0.99948,61,56
1.2,0.029348,0.89005,80,44
1.2,1.12E-06,0.0002654,60,88
1.2,4.41E-09,0.99999,120,58
1.2,0.075277,0.78709,82,77
1.2,2.70E-06,0.99958,89,50
1.2,0.023896,0.90328,111,75
1.2,0.001934,0.98692,63,43
1.2,5.28E-06,0.99916,146,69
1.2,1.03E-10,1,68,26
1.2,3.83E-10,1,49,38
1.2,2.55E-09,0.99999,89,28
1.2,2.15E-05,0.99819,51,42
1.2,3.59E-05,0.99704,116,56
1.2,6.20E-06,0.00061626,45,86
1.2,1.36E-08,0.99998,106,42
1.2,2.30E-07,0.99991,75,38
1.2,0.00019536,0.99409,59,58
1.2,6.20E-09,0.99999,93,39
1.2,0.0005859,0.98535,62,72
1.2,0.015196,0.91078,66,31
1.2,0.09341,0.42825,106,78
1.2,7.59E-07,0.99979,58,42
1.2,1.21E-05,0.99878,55,64
1.2,2.04E-08,0.99996,144,51
1.2,2.98E-07,0.99988,176,85
1.2,0.07383,0.62838,90,42
1.2,2.30E-06,0.99956,108,94
1.2,1.01E-07,0.99994,104,49
1.2,2.69E-09,0.99999,100,37
1.2,0.041009,0.85355,78,72
1.2,1.42E-06,0.9997,82,50
1.2,3.64E-05,0.99717,134,56
1.2,1.62E-08,0.99998,79,37
1.2,0.014798,0.088519,71,94
1.2,1.36E-07,0.99992,137,39
1.2,3.73E-08,0.99997,119,62
1.2,0.07459,0.78832,106,85
1.2,0.069799,0.79835,106,72
1.2,0.09159,0.53795,97,88
1.2,4.50E-07,0.99989,143,81
